Fichero,Tipo,Mínimo,Máximo,Tiempo
"phub_100_10_10.txt",CPH,4343.33,6198.09,.069782685
"phub_100_10_1.txt",CPH,4849.96,6203.88,.076618304
"phub_100_10_2.txt",CPH,4224.64,5461.82,.083984382
"phub_100_10_3.txt",CPH,4222.77,5343.36,.072838552
"phub_100_10_4.txt",CPH,4524.48,5861.98,.064564664
"phub_100_10_5.txt",CPH,4706.62,6085.81,.068317410
"phub_100_10_6.txt",CPH,3806.71,4866.44,.079225658
"phub_100_10_7.txt",CPH,4394.81,5542.64,.075036646
"phub_100_10_8.txt",CPH,4540.8,6027.5,.079783469
"phub_100_10_9.txt",CPH,4123.6,5355.52,.076442467
"phub_50_5_10.txt",CPH,2093.31,3151.86,.062734916
"phub_50_5_1.txt",CPH,2128.83,3220.94,.054559935
"phub_50_5_2.txt",CPH,2285.46,2908.69,.058223794
"phub_50_5_3.txt",CPH,2084.31,3085.39,.055029390
"phub_50_5_4.txt",CPH,1920.77,2963.35,.051862450
"phub_50_5_5.txt",CPH,2251.25,3336.79,.060325671
"phub_50_5_6.txt",CPH,2284.8,3190.47,.068074292
"phub_50_5_7.txt",CPH,1962.83,2705.34,.054484290
"phub_50_5_8.txt",CPH,2298.32,3254.5,.057571266
"phub_50_5_9.txt",CPH,1810.81,2847.47,.038336370
"arc130.mtx.rnd",CWP,62,124,3.278636928
"ash85.mtx.rnd",CWP,33,56,.933982032
"bcspwr01.mtx.rnd",CWP,15,30,.121186307
"bcspwr02.mtx.rnd",CWP,19,37,.216779504
"bcspwr03.mtx.rnd",CWP,50,80,2.452016104
"bcsstk01.mtx.rnd",CWP,19,36,.213054262
"bcsstk02.mtx.rnd",CWP,33,66,.466850310
"bcsstk04.mtx.rnd",CWP,59,92,3.405101489
"bcsstk05.mtx.rnd",CWP,67,102,5.294736704
"bcsstk22.mtx.rnd",CWP,45,74,1.990681057
"can__144.mtx.rnd",CWP,60,94,4.430863683
"can__161.mtx.rnd",CWP,67,106,6.156390157
"curtis54.mtx.rnd",CWP,23,38,.291198418
"dwt__234.mtx.rnd",CWP,50,83,2.399201551
"ejemplo.txt",CWP,3,6,.029204607
"fs_183_1.mtx.rnd",CWP,85,176,9.017043764
"fs_183_3.mtx.rnd",CWP,85,176,9.009069931
"fs_183_4.mtx.rnd",CWP,85,176,9.050008550
"fs_183_6.mtx.rnd",CWP,85,176,9.015932814
"gent113.mtx.rnd",CWP,46,85,1.678991659
"gre__115.mtx.rnd",CWP,49,79,2.265988738
"gre__185.mtx.rnd",CWP,78,115,9.301407684
"ibm32.mtx.rnd",CWP,14,25,.093348162
"impcol_b.mtx.rnd",CWP,25,47,.347292351
"impcol_c.mtx.rnd",CWP,56,88,3.822112295
"lns__131.mtx.rnd",CWP,52,80,2.775161581
"lund_a.mtx.rnd",CWP,63,95,4.707501875
"lund_b.mtx.rnd",CWP,63,95,4.707162442
"mcca.mtx.rnd",CWP,75,116,7.003200735
"nos1.mtx.rnd",CWP,66,101,5.831326704
"nos4.mtx.rnd",CWP,42,67,1.509750991
"pores_1.mtx.rnd",CWP,11,26,.087706676
"steam3.mtx.rnd",CWP,34,59,.788062306
"west0132.mtx.rnd",CWP,55,88,3.414874612
"west0156.mtx.rnd",CWP,66,103,5.603468525
"west0167.mtx.rnd",CWP,72,113,6.861694469
"will199.mtx.rnd",CWP,82,129,11.601323894
"will57.mtx.rnd",CWP,23,44,.316283124
"GKD-Ia_10_n10_m3.txt",MMDP,81.0097,139.526,.039668241
"GKD-Ia_11_n10_m4.txt",MMDP,31.8906,89.0332,.041405801
"GKD-Ia_12_n10_m4.txt",MMDP,108.838,181.318,.030467895
"GKD-Ia_13_n10_m4.txt",MMDP,20.6864,106.133,.034074842
"GKD-Ia_14_n10_m4.txt",MMDP,91.6147,142.542,.040376809
"GKD-Ia_15_n10_m4.txt",MMDP,136.855,190.474,.030635016
"GKD-Ia_16_n10_m6.txt",MMDP,64.4736,115.909,.029114474
"GKD-Ia_17_n10_m6.txt",MMDP,89.4368,135.753,.027770968
"GKD-Ia_18_n10_m6.txt",MMDP,62.8242,97.3794,.033344010
"GKD-Ia_19_n10_m6.txt",MMDP,115.578,138.865,.029552993
"GKD-Ia_1_n10_m2.txt",MMDP,108.779,243.973,.036800826
"GKD-Ia_20_n10_m6.txt",MMDP,32.21,68.8401,.040619447
"GKD-Ia_21_n10_m8.txt",MMDP,128.087,153.679,.038468018
"GKD-Ia_22_n10_m8.txt",MMDP,45.7735,77.7428,.044247705
"GKD-Ia_23_n10_m8.txt",MMDP,41.5328,57.366,.034407097
"GKD-Ia_24_n10_m8.txt",MMDP,75.4686,90.4056,.034562832
"GKD-Ia_25_n10_m8.txt",MMDP,57.735,75.1725,.027019437
"GKD-Ia_26_n15_m3.txt",MMDP,17.2465,95.2455,.034057553
"GKD-Ia_27_n15_m3.txt",MMDP,112.456,218.187,.028634545
"GKD-Ia_28_n15_m3.txt",MMDP,96.1663,198.451,.032018018
"GKD-Ia_29_n15_m3.txt",MMDP,70.307,167.325,.032319220
"GKD-Ia_2_n10_m2.txt",MMDP,84.8425,210.65,.035491591
"GKD-Ia_30_n15_m3.txt",MMDP,90.6372,177.101,.038146270
"GKD-Ia_31_n15_m4.txt",MMDP,14.3426,86.1372,.037503141
"GKD-Ia_32_n15_m4.txt",MMDP,57.3621,127.07,.033681454
"GKD-Ia_33_n15_m4.txt",MMDP,97.1081,181.659,.032494185
"GKD-Ia_34_n15_m4.txt",MMDP,43.1416,122.061,.043470677
"GKD-Ia_35_n15_m4.txt",MMDP,2.18282,59.3488,.046446111
"GKD-Ia_36_n15_m6.txt",MMDP,103.546,155.993,.033276100
"GKD-Ia_37_n15_m6.txt",MMDP,102.714,159.984,.039823809
"GKD-Ia_38_n15_m6.txt",MMDP,76.1443,119.272,.047566956
"GKD-Ia_39_n15_m6.txt",MMDP,125.026,167.337,.039560665
"GKD-Ia_3_n10_m2.txt",MMDP,39.9522,146.615,.041185960
"GKD-Ia_40_n15_m6.txt",MMDP,82.4131,128.574,.044091966
"GKD-Ia_41_n15_m9.txt",MMDP,120.876,156.056,.040148871
"GKD-Ia_42_n15_m9.txt",MMDP,112.722,141.833,.042497021
"GKD-Ia_43_n15_m9.txt",MMDP,52.9606,80.496,.046148941
"GKD-Ia_44_n15_m9.txt",MMDP,80.8574,111.964,.035542567
"GKD-Ia_45_n15_m9.txt",MMDP,52.4345,80.2393,.036072855
"GKD-Ia_46_n15_m12.txt",MMDP,97.6638,113.995,.033176081
"GKD-Ia_47_n15_m12.txt",MMDP,125.027,148.989,.039493961
"GKD-Ia_48_n15_m12.txt",MMDP,90.5166,124.014,.035971267
"GKD-Ia_49_n15_m12.txt",MMDP,66.0227,79.5465,.034884110
"GKD-Ia_4_n10_m2.txt",MMDP,64.0668,186.181,.030730020
"GKD-Ia_50_n15_m12.txt",MMDP,100.112,103.756,.032415575
"GKD-Ia_51_n30_m6.txt",MMDP,97.2964,173.861,.045614353
"GKD-Ia_52_n30_m6.txt",MMDP,85.4889,168.377,.047578322
"GKD-Ia_53_n30_m6.txt",MMDP,61.6112,141.891,.047382973
"GKD-Ia_54_n30_m6.txt",MMDP,29.8885,88.4334,.048260766
"GKD-Ia_55_n30_m6.txt",MMDP,26.2121,95.5118,.048760990
"GKD-Ia_56_n30_m9.txt",MMDP,77.5289,121.39,.036268735
"GKD-Ia_57_n30_m9.txt",MMDP,128.953,173.612,.051732393
"GKD-Ia_58_n30_m9.txt",MMDP,83.4642,136.292,.054078952
"GKD-Ia_59_n30_m9.txt",MMDP,97.1046,157.957,.048200628
"GKD-Ia_5_n10_m2.txt",MMDP,109.121,209.616,.041478493
"GKD-Ia_60_n30_m9.txt",MMDP,103.467,144.288,.048285088
"GKD-Ia_61_n30_m12.txt",MMDP,90.4945,150.899,.047590577
"GKD-Ia_62_n30_m12.txt",MMDP,52.8004,97.0745,.047547291
"GKD-Ia_63_n30_m12.txt",MMDP,123.778,153.282,.038095600
"GKD-Ia_64_n30_m12.txt",MMDP,76.6782,119.083,.050817468
"GKD-Ia_65_n30_m12.txt",MMDP,46.091,84.632,.058087902
"GKD-Ia_66_n30_m18.txt",MMDP,82.8188,110.066,.046876356
"GKD-Ia_67_n30_m18.txt",MMDP,64.3923,100.176,.037772071
"GKD-Ia_68_n30_m18.txt",MMDP,116.751,147.481,.056512659
"GKD-Ia_69_n30_m18.txt",MMDP,79.7165,117.979,.045135769
"GKD-Ia_6_n10_m3.txt",MMDP,11.9381,77.8342,.027255102
"GKD-Ia_70_n30_m18.txt",MMDP,60.8527,98.1167,.048708954
"GKD-Ia_71_n30_m24.txt",MMDP,52.5157,69.3403,.046802464
"GKD-Ia_72_n30_m24.txt",MMDP,70.0861,120.202,.049167055
"GKD-Ia_73_n30_m24.txt",MMDP,31.6113,39.7126,.060534638
"GKD-Ia_74_n30_m24.txt",MMDP,5.92535,12.3221,.044072895
"GKD-Ia_75_n30_m24.txt",MMDP,3.27163,6.34909,.064920845
"GKD-Ia_7_n_m3.txt",MMDP,58.3945,137.983,.033173765
"GKD-Ia_8_n10_m3.txt",MMDP,32.3124,111.167,.039266967
"GKD-Ia_9_n10_m3.txt",MMDP,84.2961,169.072,.034997770
"att48.txt",TSP,126396,184666,.102578159
"dantzig42.txt",TSP,2348,3576,.091412080
"fri26.txt",TSP,1825,3163,.067195982
"gr17.txt",TSP,3111,5710,.046903185
"p01.txt",TSP,426,788,.039610092
